Option Type,Underlying Price,Strike Price,Time to Expiry,Risk-Free Interest Rate,Volatility,LTP
PUT,19265.80,17800.00,0.019,10,0,2.40
PUT,19265.80,17850.00,0.019,10,0,2.35
PUT,19265.80,17900.00,0.019,10,0,2.40
PUT,19265.80,17950.00,0.019,10,0,2.50
PUT,19265.80,18000.00,0.019,10,0,3.25
PUT,19265.80,18050.00,0.019,10,0,2.70
PUT,19265.80,18100.00,0.019,10,0,2.85
PUT,19265.80,18150.00,0.019,10,0,2.85
PUT,19265.80,18200.00,0.019,10,0,3.30
PUT,19265.80,18250.00,0.019,10,0,2.80
PUT,19265.80,18300.00,0.019,10,0,2.85
PUT,19265.80,18350.00,0.019,10,0,3.10
PUT,19265.80,18400.00,0.019,10,0,3.25
PUT,19265.80,18450.00,0.019,10,0,3.25
PUT,19265.80,18500.00,0.019,10,0,3.30
PUT,19265.80,18550.00,0.019,10,0,3.75
PUT,19265.80,18600.00,0.019,10,0,3.95
PUT,19265.80,18650.00,0.019,10,0,4.45
PUT,19265.80,18700.00,0.019,10,0,5.40
PUT,19265.80,18750.00,0.019,10,0,5.85
PUT,19265.80,18800.00,0.019,10,0,7.30
PUT,19265.80,18850.00,0.019,10,0,8.85
PUT,19265.80,18900.00,0.019,10,0,10.85
PUT,19265.80,18950.00,0.019,10,0,13.10
PUT,19265.80,19000.00,0.019,10,0,16.15
PUT,19265.80,19050.00,0.019,10,0,20.20
PUT,19265.80,19100.00,0.019,10,6.73,25.40
PUT,19265.80,19150.00,0.019,10,6.68,31.85
PUT,19265.80,19200.00,0.019,10,7.2,40.50
PUT,19265.80,19250.00,0.019,10,7.39,52.35
PUT,19265.80,19300.00,0.019,10,7.67,65.60
PUT,19265.80,19350.00,0.019,10,7.72,82.80
PUT,19265.80,19400.00,0.019,10,7.82,101.80
PUT,19265.80,19450.00,0.019,10,7.96,124.95
PUT,19265.80,19500.00,0.019,10,8.09,152.90
PUT,19265.80,19550.00,0.019,10,8.22,184.30
PUT,19265.80,19600.00,0.019,10,8.33,218.20
PUT,19265.80,19650.00,0.019,10,8.43,255.90
PUT,19265.80,19700.00,0.019,10,8.61,295.65
PUT,19265.80,19750.00,0.019,10,8.85,336.00
PUT,19265.80,19800.00,0.019,10,9.08,390.00
PUT,19265.80,19850.00,0.019,10,9.3,432.00
PUT,19265.80,19950.00,0.019,10,0,535.00
PUT,19265.80,20050.00,0.019,10,0,631.10
PUT,19265.80,20250.00,0.019,10,11.96,813.15
PUT,19265.80,20550.00,0.019,10,14.98,1100.00
CALL,19265.80,17800.00,0.019,10,0,1625.00
CALL,19265.80,17850.00,0.019,10,0,1475.00
CALL,19265.80,17900.00,0.019,10,0,1412.00
CALL,19265.80,17950.00,0.019,10,0,1555.00
CALL,19265.80,18000.00,0.019,10,0,1437.10
CALL,19265.80,18100.00,0.019,10,0,1297.55
CALL,19265.80,18200.00,0.019,10,0,1187.10
CALL,19265.80,18250.00,0.019,10,0,1185.00
CALL,19265.80,18300.00,0.019,10,0,1049.95
CALL,19265.80,18350.00,0.019,10,0,990.00
CALL,19265.80,18400.00,0.019,10,0,1050.85
CALL,19265.80,18450.00,0.019,10,0,982.40
CALL,19265.80,18500.00,0.019,10,0,953.00
CALL,19265.80,18550.00,0.019,10,0,798.00
CALL,19265.80,18600.00,0.019,10,0,837.10
CALL,19265.80,18650.00,0.019,10,0,795.00
CALL,19265.80,18700.00,0.019,10,0,750.35
CALL,19265.80,18750.00,0.019,10,0,684.50
CALL,19265.80,18800.00,0.019,10,0,650.00
CALL,19265.80,18850.00,0.019,10,0,601.15
CALL,19265.80,18900.00,0.019,10,0,552.85
CALL,19265.80,18950.00,0.019,10,0,505.75
CALL,19265.80,19000.00,0.019,10,0,456.15
CALL,19265.80,19050.00,0.019,10,0,406.30
CALL,19265.80,19100.00,0.019,10,0,361.65
CALL,19265.80,19150.00,0.019,10,0,312.95
CALL,19265.80,19200.00,0.019,10,5.13,267.65
CALL,19265.80,19250.00,0.019,10,6.9,225.00
CALL,19265.80,19300.00,0.019,10,7.01,183.15
CALL,19265.80,19350.00,0.019,10,7.17,144.65
CALL,19265.80,19400.00,0.019,10,7.42,111.40
CALL,19265.80,19450.00,0.019,10,7.44,82.95
CALL,19265.80,19500.00,0.019,10,7.35,58.00
CALL,19265.80,19550.00,0.019,10,7.27,38.65
CALL,19265.80,19600.00,0.019,10,7.18,24.20
CALL,19265.80,19650.00,0.019,10,7.2,14.65
CALL,19265.80,19700.00,0.019,10,7.26,8.75
CALL,19265.80,19750.00,0.019,10,7.4,5.20
CALL,19265.80,19800.00,0.019,10,7.61,3.25
CALL,19265.80,19850.00,0.019,10,8.07,2.35
CALL,19265.80,19900.00,0.019,10,8.55,1.80
CALL,19265.80,19950.00,0.019,10,9.24,1.60
CALL,19265.80,20000.00,0.019,10,9.85,1.45
CALL,19265.80,20050.00,0.019,10,10.57,1.40
CALL,19265.80,20100.00,0.019,10,11.22,1.35
CALL,19265.80,20150.00,0.019,10,13.1,2.45
CALL,19265.80,20200.00,0.019,10,12.71,1.30
CALL,19265.80,20250.00,0.019,10,13.23,1.15
CALL,19265.80,20300.00,0.019,10,13.87,1.10
CALL,19265.80,20350.00,0.019,10,14.82,1.15
CALL,19265.80,20400.00,0.019,10,15.29,1.10
CALL,19265.80,20450.00,0.019,10,15.8,0.95
CALL,19265.80,20500.00,0.019,10,16.29,0.95
CALL,19265.80,20550.00,0.019,10,17.07,0.85
CALL,19265.80,20600.00,0.019,10,17.63,0.90
CALL,19265.80,20650.00,0.019,10,18.06,0.90
CALL,19265.80,20700.00,0.019,10,18.84,0.80
CALL,19265.80,20750.00,0.019,10,19.61,1.20
CALL,19265.80,20800.00,0.019,10,19.87,0.80
CALL,19265.80,20850.00,0.019,10,20.51,0.75
CALL,19265.80,20900.00,0.019,10,20.99,0.80
CALL,19265.80,20950.00,0.019,10,21.62,0.70
CALL,19265.80,21000.00,0.019,10,22.4,0.75
CALL,19265.80,21050.00,0.019,10,22.86,0.70
CALL,19265.80,21100.00,0.019,10,23.48,0.70
CALL,19265.80,21150.00,0.019,10,24.1,0.65
